,reviewText,reviewDate,reviewStar,reviewCity,reviewWebsite
0,"1. The exterior looks superb and is a perfect car for men. 2. Best car in this class in the price. 3. Luxurious seating. 4. Large Panorama window. 5. Larger boot space. 6. Only a few commands are working. 7. Pickup, when compared to the same segment bit, lags in this and not that comfortable for driving, and especially due to a short clutch. 9. The body is super.  10. After-sales service package was awesome never heard these kinds of offers.","Dec 10, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/nobody-can-say-no-to-this-96212.htm
1,"The MG Hector pretty much outsizes everything in its class. Its length and wheelbase are the largest amongst its rivals, though the narrow girth and excessive rear overhang do throw proportions off a bit. Generous use of chrome means the Hector is big on bling and elements like the split LED DRLs and headlamps set up ensure the MG grabs attention.","Dec 09, 2019",4,NA,https://www.cardekho.com/user-review/mg-hector/best-car-ever-seen-96178.htm
2,"The best car at a very reasonable price and best specification in the budget, it has very advanced features.","Dec 08, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/best-in-the-budget-96091.htm
3,A real slayer. The interior and the exteriors are so dashing. Far better than Toyota Fortuner.,"Dec 10, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/great-car-96234.htm
4,The most powerful car.,"Dec 10, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/the-best-car-96232.htm
5,Perfect drive due to ultimate steering and infotainment system is mind-blowing.,"Dec 09, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/best-car-so-far-96190.htm
6,Amazing drive and great looks.,"Dec 09, 2019",3,NA,https://www.cardekho.com/user-review/mg-hector/superb-car-96182.htm
7,"Best luxury SUV in the budget as It contains many features that are only in this car like the panoramic sunroof, new voice assistance and many more. Its design is very beautiful and taillight looks like Audi's taillight. It has sufficient space for passengers and its price range is also good. It is an affordable car for middle-class people at this price. This is the only car which has all features especially its mobile features, we can control this car by the mobile application. The company has to make drastic changes in the car.","Dec 09, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/nice-suv-for-family-96181.htm
8,"MG Hector is a very comfortable car, I love to drive it, it is very good to take anywhere my experience is very good for Hector.","Dec 09, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/100-reliable-car-96154.htm
9,"The best car at that price best feature, amazing power, and handling is also good. All over best in class and amazing space.","Dec 08, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/mg-hector-best-features-96083.htm
10,This car is perfect for a family it is the best car in this range. It contains many features that are only in this car like panoramic sunroof new voice assistance and many more its design is very beautiful its tail light is all led its tail light look like Audi tail light and its have efficient space for persons and its price range is also good it is affordable car for middle-class people in this price this is the only car which has this all features especially its mobile features we can control this car by the app this car has to make drastic change in the Car market I would suggest everyone buy this car only. This is the first car of MG company that contain all features that can satisfy a person it has a big infotainment system like Tesla have we can control everything from the infotainment system its headlight look very stylish its length is very awesome and width also its body is also similar to Fortuner I would prefer that everyone should buy this car If they are not satisfied with this review so first go to the MG showroom and first visit the car. I am also thinking about to buy this car because it gives a very good shine. ,"Dec 08, 2019",5,NA,https://www.cardekho.com/user-review/mg-hector/perfect-family-suv-96038.htm
